,index_t,Series,Release Year,IMDB Rating,Genre,Director,Stars,soup
0,Dark - (2017 - 2020),Dark,(2017 - 2020),8.8,"Crime, Drama, Mystery",Unavailable,"Louis Hofmann, Karoline Eichhorn, Lisa V, Maja Schön","Crime, Drama, Mystery, Unavailable, Louis Hofmann, Karoline Eichhorn, Lisa V, Maja Schön"
1,The Sinner - (2017 -  ),The Sinner,(2017 -  ),8.0,"Crime, Drama, Mystery",Unavailable,"Bill Pullman, hn Norwood, Adam LeFev, Jessica Biel","Crime, Drama, Mystery, Unavailable, Bill Pullman, hn Norwood, Adam LeFev, Jessica Biel"
2,Perry Mason - (2020 -  ),Perry Mason,(2020 -  ),7.1,"Crime, Drama",Unavailable,"Matthew Rhy, Juliet Rylan, Tatiana Maslany, Rachel Boulw","Crime, Drama, Unavailable, Matthew Rhy, Juliet Rylan, Tatiana Maslany, Rachel Boulw"
3,The Order - (2019 -  ),The Order,(2019 -  ),6.9,"Drama, Fantasy, Horror",Unavailable,"Jake Manley, h Grey, Adam DiM, Katharine Isabell","Drama, Fantasy, Horror, Unavailable, Jake Manley, h Grey, Adam DiM, Katharine Isabell"
4,The Politician - (2019 -  ),The Politician,(2019 -  ),7.5,"Comedy, Drama",Unavailable,"Ben Pl, Zoey Deutch, Lucy Boynton, Julia Schlaepf","Comedy, Drama, Unavailable, Ben Pl, Zoey Deutch, Lucy Boynton, Julia Schlaepf"
5,Yellowstone - (2018 -  ),Yellowstone,(2018 -  ),8.4,"Drama, Western",Unavailable,"Kevin Costn, Luke Grim, Kelly Reilly, Wes Bentley","Drama, Western, Unavailable, Kevin Costn, Luke Grim, Kelly Reilly, Wes Bentley"
6,Game of Thrones - (2011 - 2019),Game of Thrones,(2011 - 2019),9.3,"Action, Adventure, Drama",Unavailable,"Emilia Clark, Peter Dinklag, Kit Harington, Lena Headey","Action, Adventure, Drama, Unavailable, Emilia Clark, Peter Dinklag, Kit Harington, Lena Headey"
7,13 Reasons Why - (2017 - 2020),13 Reasons Why,(2017 - 2020),7.7,"Drama, Mystery",Unavailable,"ylan Minn, Katherine Langford, Christian Nav, Alisha B","Drama, Mystery, Unavailable, ylan Minn, Katherine Langford, Christian Nav, Alisha B"
8,Community - (2009 - 2015),Community,(2009 - 2015),8.5,Comedy,Unavailable,"Joel McHal, nny Pud, nald Glov, Chevy Ch","Comedy, Unavailable, Joel McHal, nny Pud, nald Glov, Chevy Ch"
9,The Office - (2005 - 2013),The Office,(2005 - 2013),8.9,Comedy,Unavailable,"ve Carell, Jenna Fisch, John Krasinsk, Rainn Wilson","Comedy, Unavailable, ve Carell, Jenna Fisch, John Krasinsk, Rainn Wilson"
10,The 100 - (2014 -  ),The 100,(2014 -  ),7.7,"Drama, Mystery, Sci-Fi",Unavailable,"Eliza Tayl, Bob Morley, Marie Avgeropoul, Isaiah Washington","Drama, Mystery, Sci-Fi, Unavailable, Eliza Tayl, Bob Morley, Marie Avgeropoul, Isaiah Washington"
11,Grey's Anatomy - (2005 -  ),Grey's Anatomy,(2005 -  ),7.6,"Drama, Romance",Unavailable,"Ellen Pomp, Chandra Wilson, James Pickens Jr., Justin Chamb","Drama, Romance, Unavailable, Ellen Pomp, Chandra Wilson, James Pickens Jr., Justin Chamb"
12,Supernatural - (2005 - 2020),Supernatural,(2005 - 2020),8.4,"Drama, Fantasy, Horror",Unavailable,"Jared Padaleck, Jensen Ackl, Jim Beav, Misha Collin","Drama, Fantasy, Horror, Unavailable, Jared Padaleck, Jensen Ackl, Jim Beav, Misha Collin"
13,Breaking Bad - (2008 - 2013),Breaking Bad,(2008 - 2013),9.5,"Crime, Drama, Thriller",Unavailable,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brand","Crime, Drama, Thriller, Unavailable, Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brand"
